"positive","no screen fantasy-adventure in recent memory has the showmanship of clones' last 45 minutes ."
"positive","a poignant and compelling story about relationships , food of love takes us on a bumpy but satisfying journey of the heart ."
"positive","birot creates a drama with such a well-defined sense of place and age -- as in , 15 years old -- that the torments and angst become almost as operatic to us as they are to her characters ."
"positive","the chateau cleverly probes the cross-cultural differences between gauls and yanks ."
"positive","not since tom cruise in risky business has an actor made such a strong impression in his underwear ."
"positive","aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even better ."
"positive","uses high comedy to evoke surprising poignance ."
"positive","it confirms fincher's status as a film maker who artfully bends technical know-how to the service of psychological insight ."
"positive","vera's three actors -- mollà , gil and bardem -- excel in insightful , empathetic performances ."
"positive","a marvel like none you've seen ."
"positive","with tightly organized efficiency , numerous flashbacks and a constant edge of tension , miller's film is one of 2002's involvingly adult surprises ."
"positive","mr . tsai is a very original artist in his medium , and what time is it there ? should be seen at the very least for its spasms of absurdist humor ."
"positive","writer/director mark romanek spotlights the underlying caste system in america . it's a scathing portrayal ."
"positive","this is a good script , good dialogue , funny even for adults . the characters are interesting and often very creatively constructed from figure to backstory . the film will play equally well on both the standard and giant screens ."
"positive","moody , heartbreaking , and filmed in a natural , unforced style that makes its characters seem entirely convincing even when its script is not ."
"positive","not a film to rival to live , but a fine little amuse-bouche to keep your appetite whetted ."
"positive","true tale of courage -- and complicity -- at auschwitz is a harrowing drama that tries to tell of the unspeakable ."
"positive","gives you the steady pulse of life in a beautiful city viewed through the eyes of a character who , in spite of tragic loss and increasing decrepitude , knows in his bones that he is one of the luckiest men alive ."
"positive","macdowell , whose wifty southern charm has anchored lighter affairs . . . brings an absolutely riveting conviction to her role ."
"positive","what time is it there ? is not easy . it haunts you , you can't forget it , you admire its conception and are able to resolve some of the confusions you had while watching it ."
"positive","if you are an actor who can relate to the search for inner peace by dramatically depicting the lives of others onstage , then esther's story is a compelling quest for truth ."
"positive","although the level of the comedy declines as the movie proceeds , there's no denying the fun of watching de niro and crystal having fun ."